2003-06-05 18:42:43.514464,72663
2001-04-13 17:21:23.236682,181423
2003-08-24 14:27:56.936959,21580
2002-05-07 01:33:16.197425,75172
2003-05-31 01:41:56.559795,114564
2000-11-08 01:03:48.485372,132431
2003-10-25 05:33:38.188729,76983
2000-05-28 22:20:24.497889,89453
2003-05-25 22:16:43.430872,71967
2003-01-02 18:23:21.618360,147406
2003-07-26 16:24:26.680621,157453
2003-11-22 23:42:32.566028,85331
2003-03-10 05:11:54.236618,27928
2003-05-26 18:49:17.693404,80141
2002-07-18 19:45:14.434986,88843
2003-02-16 20:11:45.853281,31604
2002-10-08 16:20:23.424427,67151
2001-03-01 13:13:59.747331,34339
2001-12-28 11:17:27.048645,52568
2001-03-17 13:39:51.930426,184565
2003-12-21 03:53:19.271008,154085
2002-07-25 08:36:29.011807,29445
2002-11-08 15:37:42.661310,94101
2000-02-16 21:59:02.684376,130513
2002-04-27 17:47:21.283104,178051
2000-08-04 01:59:13.624776,65975
2002-09-25 16:44:11.142780,63256
2000-05-05 12:15:01.843701,101309
2003-04-16 13:11:49.704106,78290
2001-12-13 10:32:58.182583,98369
2000-06-06 05:05:44.321775,192062
2001-08-06 13:18:30.600859,101471
2002-03-20 18:19:15.309690,195771
2003-08-23 10:54:19.979922,54794
2000-07-28 22:44:18.694394,50175
2002-11-20 07:33:24.413834,19475
2000-03-25 10:26:43.295229,7395
2003-03-20 16:34:00.755297,192442
2003-07-31 16:55:16.976192,159497
2002-11-27 02:19:14.214482,133271
2003-11-25 05:53:08.071411,50288
2000-12-11 18:32:16.454861,128477
2001-08-16 02:21:34.402035,36703
2001-04-23 10:19:34.496860,41902
2003-03-05 17:52:31.128451,114542
2002-11-11 13:40:37.632238,118898
2002-08-16 03:07:14.160158,154424
2003-09-02 19:03:24.261918,90980
2000-10-05 06:46:18.947769,100617
2001-01-21 06:08:51.778915,55171
2001-04-06 06:56:31.979861,112277
2001-08-27 02:13:12.947325,23212
2002-11-29 21:57:28.615765,114970
2000-09-22 19:02:26.616032,127567
2003-10-29 09:58:07.562606,147219
2001-07-03 10:17:54.562208,10849
2003-01-21 03:46:03.482536,95360
2003-04-30 20:27:23.339601,108452
2000-05-14 13:09:25.068942,102273
2001-03-23 13:06:59.921375,116154
2000-01-21 19:30:35.333246,188133
2003-07-19 20:45:23.467428,185883
2003-07-25 08:07:04.691826,93863
2003-11-02 04:13:51.397550,25107
2003-03-14 22:56:52.767314,122664
2000-07-07 07:47:39.623723,108243
2002-01-15 07:41:03.752186,179554
2003-12-17 14:04:48.818019,95821
2002-06-18 14:09:30.142590,116798
2001-03-27 05:32:47.480220,110497
2000-05-31 00:50:04.849476,41420
2003-04-19 01:00:11.385638,146791
2003-02-18 11:01:32.031982,155242
2003-05-10 13:13:52.602127,1044
2000-02-13 20:24:01.511490,60288
2002-09-09 19:42:20.046465,111185
2002-04-30 13:10:57.139819,10503
2000-05-12 18:04:16.394363,188506
2003-11-19 00:39:01.536254,70915
2002-09-21 00:35:42.299538,153297
2001-07-10 23:53:20.357957,101686
2002-10-08 07:35:17.510434,86502
2001-12-03 08:32:42.853455,69073
2001-03-14 14:38:11.145922,16670
2002-09-02 03:34:37.251980,69174
2003-08-25 01:23:14.493634,158742
2002-10-10 23:26:46.832250,187499
